seed,buildup,climax,resolution,outlook
"For Christmas, Mitch received a history book from his friend John.","Both of are avid history fans, so they decided to meet up and discuss about the book.",Mitch thought that there were too many terrible photos in the book that reflect a lot of suffering. Mitch was horrified and did not really appreciate the book.,John apologized to Mitch and had no idea that he would be so sensitive to disturbing images in a history book. So he took the back from Mitch and promised he would get him a different book.,"John took the experience as a learning lesson, and from that point forward would tread carefully when it came to exposing Mitch to disturbing material."
"For Christmas, Mitch received a history book from his friend John.","Both of are avid history fans, so they decided to meet up and discuss about the book.",Mitch thought that there were too many terrible photos in the book that reflect a lot of suffering. Mitch was horrified and did not really appreciate the book.,"After a while, Mitch realized he was wrong. He should have been more appreciative since John put in a lot of thought into the gift.",He thanked John and got him a gift for his birthday as well.
"For Christmas, Mitch received a history book from his friend John.","Both of are avid history fans, so they decided to meet up and discuss about the book.",Mitch thought that there were too many terrible photos in the book that reflect a lot of suffering. Mitch was horrified and did not really appreciate the book.,"Since both Mitch and John are avid history fans, Mitch thought it might be a better idea to show John the bad photos to get his point of view and discuss the suffering pictured in the book to get John's opinions and thoughts. By doing this, John would understand what Mitch's tastes are for future books and Mitch has a chance to explain his distaste of the book.",Mitch can resolve their differences through discussion while not spoiling the relationship and keep the friendship intact.
"For Christmas, Mitch received a history book from his friend John.","Both of are avid history fans, so they decided to meet up and discuss about the book.","Mitch liked the book so much that he read it in two nights and thanked his friend for the thoughtful gift. As a token of appreciation, Mitch bought a map with historical event illustrations for John.",John was delighted. He had not expected that Mitch would return the favor and felt like they bonded over the exchange. He was happy he had a real friend who he thought might just last a lifetime.,John and Mitch continued to share their love of history.
"For Christmas, Mitch received a history book from his friend John.","Both of are avid history fans, so they decided to meet up and discuss about the book.","Mitch liked the book so much that he read it in two nights and thanked his friend for the thoughtful gift. As a token of appreciation, Mitch bought a map with historical event illustrations for John.",John thanked Mitch for the gift and gave him a hug. John then took another look at the map and was in awe of how amazing he thought it looked.,"Because John and Mitch both bought each other gifts that they loved, the two decided to spend much more time together."
"For Christmas, Mitch received a history book from his friend John.","Both of are avid history fans, so they decided to meet up and discuss about the book.","Mitch liked the book so much that he read it in two nights and thanked his friend for the thoughtful gift. As a token of appreciation, Mitch bought a map with historical event illustrations for John.","When they met the next day, Mitch presented his gift to John as a thank you.  John was so elated with the map and they spent more than four hours discussing both the book and the map.",John and Mitch became closer friends that day further strengthened by their affinity for history.
"For Christmas, Mitch received a history book from his friend John.","Both of are avid history fans, so they decided to meet up and discuss about the book.","Mitch liked the book so much that he read it in two nights and thanked his friend for the thoughtful gift. As a token of appreciation, Mitch bought a map with historical event illustrations for John.",They read and looked over the maps. It was very interesting and they learned new facts.,They were able to see historic events together and became more appreciative of one another.
"For Christmas, Mitch received a history book from his friend John.","Both of are avid history fans, so they decided to meet up and discuss about the book.","Mitch liked the book so much that he read it in two nights and thanked his friend for the thoughtful gift. As a token of appreciation, Mitch bought a map with historical event illustrations for John.","They spend a good amount of time looking at the map and learned a lot of new information. At the same time, they were amazed by how well maps can convey complicated information easily.",They began to collect maps together.
"For Christmas, Mitch received a history book from his friend John.","Both of are avid history fans, so they decided to meet up and discuss about the book.","They sat at a cafe, enjoying some coffee while browsing the book together and discussing some of the key events. Suddenly, Mitch's hand slipped and spilled. coffee all over book.",Mitch apologized to John for spilling coffee on the book. John told him it was fine and that everybody makes mistakes.,Mitch was relieved to hear that John was not mad at him and felt like John was a person worth hanging around more often.
"For Christmas, Mitch received a history book from his friend John.","Both of are avid history fans, so they decided to meet up and discuss about the book.","They sat at a cafe, enjoying some coffee while browsing the book together and discussing some of the key events. Suddenly, Mitch's hand slipped and spilled. coffee all over book.",John was disappointed in his friend Mitch destroying a book with coffee he gave him as a gift. Hopefully they can clean the book up and not have to get a new one to replace it.,Their friendship will probably strain a bit from the coffee interaction but should still stay friends but not as strong a relationship as it was before the accident.
"For Christmas, Mitch received a history book from his friend John.","Both of are avid history fans, so they decided to meet up and discuss about the book.","They sat at a cafe, enjoying some coffee while browsing the book together and discussing some of the key events. Suddenly, Mitch's hand slipped and spilled. coffee all over book.","Mitch was pretty unbothered by the incident and careless wiped coffee off using his sleeve, leaving a huge stain. John was shocked at how careless Mitch treated his gift.",John figured out that Mitch is very careless and irresponsible and stopped sending Mitch presents all together.
"For Christmas, Mitch received a history book from his friend John.","Both of are avid history fans, so they decided to meet up and discuss about the book.","They sat at a cafe, enjoying some coffee while browsing the book together and discussing some of the key events. Suddenly, Mitch's hand slipped and spilled. coffee all over book.",John was slightly irritated that the present he had picked out had been ruined but he recognized it as an accident. He refrained from losing temper at Mitch.,John and Mitch remain friends and Mitch buys himself a new copy of the book because he enjoyed it.
"For Christmas, Mitch received a history book from his friend John.","Both of are avid history fans, so they decided to meet up and discuss about the book.","They sat at a cafe, enjoying some coffee while browsing the book together and discussing some of the key events. Suddenly, Mitch's hand slipped and spilled. coffee all over book.","Mitch started to freak because he thought John might think that he did not care about his gift. Fortunately, John knew that it was an accident and was not mad at all but calmly helped Mitch clean up the mess.",Mitch was glad that John is a very forgiving friend and love spending time with him.
"For Christmas, Mitch received a history book from his friend John.","Both of are avid history fans, so they decided to meet up and discuss about the book.","They sat at a cafe, enjoying some coffee while browsing the book together and discussing some of the key events. Suddenly, John's hand slipped and spilled. coffee all over book.","Mitch was furious!  He stood up quickly knocking the chair over and proceeded to wipe himself, not John nor the book, off in disgust.",John was taken aback by Mitch's reaction that John apologized and promptly left utterly confused about what just happened and now second guessing what friendship he thought he had with Mitch.
"For Christmas, Mitch received a history book from his friend John.","Both of are avid history fans, so they decided to meet up and discuss about the book.","They sat at a cafe, enjoying some coffee while browsing the book together and discussing some of the key events. Suddenly, John's hand slipped and spilled. coffee all over book.","The coffee was so hot it burned his hand. The waiter jumped over to help. Mitch was embarrassed and ran out of the shop, leaving John alone in helplessness.",John never contacted Mitch again because he realized that Mitch is very selfish.
"For Christmas, Mitch received a history book from his friend John.","Both of are avid history fans, so they decided to meet up and discuss about the book.","They sat at a cafe, enjoying some coffee while browsing the book together and discussing some of the key events. Suddenly, John's hand slipped and spilled. coffee all over book.","John was nervous that Mitch would be mad at him. Mitch, on the other hand, thinking that it was a gift from Mitch so he should not lose temper.",John appreciate Mitch’s forgiveness and got Mitch a new book.
"For Christmas, Mitch received a history book from his friend John.","Both of are avid history fans, so they decided to meet up and discuss about the book.","They sat at a cafe, enjoying some coffee while browsing the book together and discussing some of the key events. Suddenly, John's hand slipped and spilled. coffee all over book.","John felt horrible, and Mitch while disappointed said hey mistakes happen.  Mitch got some napkins and cleaned up the spill as best as he could.",Mitch actually respected the way John expressed dismay and brought the two closer together as friends.
"For Christmas, Mitch received a history book from his friend John.","Both of are avid history fans, so they decided to meet up and discuss about the book.","They sat at a cafe, enjoying some coffee while browsing the book together and discussing some of the key events. Suddenly, John's hand slipped and spilled. coffee all over book.","The coffee was really hot so John let out a little scream as it touched him hand. Mitch immediate came over to check John out, disregarding the damage of the book.",John was surprised by how caring Mitch was and became even nicer to Mitch after this.
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,John was hurt and angry at the same time. He spent a long time picking the gift for Mitch and it turned out he did not even like it.,"John asked Mitch, ""How could you be so unkind?""  I spent good time and money to buy what I thought was the perfect gift for you! Mitch looked down at the floor for a few moments. Mitch looked at John and asked him to ‘please forgive hateful words. I am so very sorry for my rude behavior. I lost my job today and I am taking my anger out on you. Can you ever forgive me? I really do like the book!’ John replied yes, with a smile.",John understood the many emotions his friend Mitch was dealing with after his job loss.  John forgave his friend and they sat down and had a long talk about what Mitch could do to find new employment.
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,John was hurt and angry at the same time. He spent a long time picking the gift for Mitch and it turned out he did not even like it.,John told Mitch that a book isn't about looks but about its content. Mitch got annoyed and found the receipt in the box and told him he was going to return the book.,John distances himself away from Mitch who he believes is an unreasonable person.
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,John was hurt and angry at the same time. He spent a long time picking the gift for Mitch and it turned out he did not even like it.,John encouraged Mitch to actually read the book and not judge it by its cover. Mitch does this and finds that he actually really enjoys the book. Mitch apologises.,John was hurt at Mitch's initial reaction but decides to let it pass and they remain friends.
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,John was hurt and angry at the same time. He spent a long time picking the gift for Mitch and it turned out he did not even like it.,Mitch had received a book from john but he ought to thought it was cheap therefore he told that he could have given him something more expensive which eventually made john frustrated since he had spent a long time picking the gift,john figured that mitch was very cheap and gradually he distance himself from mitch
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,John was hurt and angry at the same time. He spent a long time picking the gift for Mitch and it turned out he did not even like it.,john realized how dumb he had been. He should not have bought mitch anything.,Mitch felt bad and they were never the same.
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,Mitch threw the book into trash in front of John's eyes and left angrily. John caught up to Mitch and punched Mitch hard in the back.,John felt bad that he overreacted. He should have never been so violent,they never spoke to each other after that day
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,Mitch threw the book into trash in front of John's eyes and left angrily. John caught up to Mitch and punched Mitch hard in the back.,"Mitch turned around in shock as he didn't think John was a violent person. He slowly made his way back to the trash to pick up the book, trying his best not to make eye contact with John and apologized quietly.",Mitch is incredibly fearful of John and no longer wants to be friends with him.
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,Mitch threw the book into trash in front of John's eyes and left angrily. John caught up to Mitch and punched Mitch hard in the back.,"Mitch later apologized to John on the phone, he had been manic due to not taking his bipolar medications. John understood the situation and decided to forgive Mitch.","While not as good of friends as they once were, they are working on it, Mitch is taking his medicine daily to make sure it doesn't happen again."
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,Mitch threw the book into trash in front of John's eyes and left angrily. John caught up to Mitch and punched Mitch hard in the back.,jon was horrified at what he just done. Mitch gave him the meanest look.,they never spoke to each other again
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,Mitch threw the book into trash in front of John's eyes and left angrily. John caught up to Mitch and punched Mitch hard in the back.,"Mitch fell to the ground hard and remained there still.  John added insult to injury by saying ""Who's cheap now?"" and then stormed off leaving Mitch.","Their friendship was. essentially over, Mitch got up and trudged to his car to drive home."
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,Mitch immediately regretted it after saying it because tears were building up in John's eyes.  Mitch apologized multiple times and emphasized that he really did not mean it.,"Despite Mitch's insistence that he did not mean what he said, John stormed away in a mix of anger and sadness. Mitch called out to him one last time, but John ignored him and continued on his way.","John felt like Mitch was an inconsiderate jerk, so he decided to end his friendship with him and never talk to him again."
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,Mitch immediately regretted it after saying it because tears were building up in John's eyes.  Mitch apologized multiple times and emphasized that he really did not mean it.,Mitch knew he could be cold at times. He was not very self aware most of the time,He apologized and they moved on
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,Mitch immediately regretted it after saying it because tears were building up in John's eyes.  Mitch apologized multiple times and emphasized that he really did not mean it.,John didn't care about Mitch's response as he was clearly hurt by the initial insult.  John left Mitch and proceeded to screech off in his car.,Mitch attempted to reconcile with John the next day with a phone call - it was instantly rejected as John had no desire to maintain this friendship.
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,Mitch immediately regretted it after saying it because tears were building up in John's eyes.  Mitch apologized multiple times and emphasized that he really did not mean it.,At that time Mitch come to know money or expensive things doesn't matter for an True friendship.Understanding and supporting each other ups and down  is important.,"Unfortunately, John did not accept his apology."
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,Mitch immediately regretted it after saying it because tears were building up in John's eyes.  Mitch apologized multiple times and emphasized that he really did not mean it.,Mitch was horrified at his response. He hadn't realized how insensitive that was.,He deeply regretted what he said and tried to make it up to John.
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,John was mad because it was signed copy of his favorite historian that he got in Canada. He shoved Mitch hard and yelled that he did not deserve the book.,"Mitch did not like being shoved, so he yelled at John that can go ahead and take the book back. John then took the book and stormed away angrily.",John decided that Mitch wasn't a true friend after all and never contacted him after that incident again.
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,John was mad because it was signed copy of his favorite historian that he got in Canada. He shoved Mitch hard and yelled that he did not deserve the book.,Mitch felt really bad because john was less financially stable than he was. Jon had recently lost his job.,Mitch tried to made it up to John by helping him look for jobs.
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,John was mad because it was signed copy of his favorite historian that he got in Canada. He shoved Mitch hard and yelled that he did not deserve the book.,"Mitch couldn't believe that John had gotten him such an amazing gift, especially since Mitch had not gotten him anything nearly as thoughtful. Mitch's gift was just a simple watch that he had bought from the mall for $40, whereas John's gift was so deep and personal to him.",Mitch apologized to John for giving him a less impressive gift and then thanked him for completing his collection and giving him a timeless gift that he will forever remember.
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,John was mad because it was signed copy of his favorite historian that he got in Canada. He shoved Mitch hard and yelled that he did not deserve the book.,"John seemed like he really cared about the book he gifted to Mitch, so he's probably very hurt seeing mitch's reaction to the gift he gave him. A good resolution would be to talk out that interaction and if Mitch really felt what he said about the book and if they both felt like they acted irrationally towards the situation.",The relationship will most likely suffer between Mitch and john with that interaction. John and mitch will distance themselves from each other and talk less and less over time.
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,John was mad because it was signed copy of his favorite historian that he got in Canada. He shoved Mitch hard and yelled that he did not deserve the book.,Mitch was not having it with John.  He retaliated by punching John square in the jaw.,"Mitch, clearly shaken from his punch, swiped the book out of John's hands and said, ""You know what, I am going to keep this book as a reminder to who my real friends are - just me."""
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,"Mitch had been tolerating this for a while: every time Mitch pay for something or gave John something, John always calculated the monetary values and pay something cheaper back. Mitch was frustrated that John cherished money more than their friendship.",This event was no exception as John brought up past events of expenditures and how it was unfair to constantly have to compete with Mitch's spending.  Mitch explained their friendship is not a competition and Mitch just wanted to show John his appreciation.,"John, now embarrassed, excused himself and left and Mitch was honestly fine with this as he wanted to end this friendship eventually and this provided a prime opportunity."
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,"Mitch had been tolerating this for a while: every time Mitch pay for something or gave John something, John always calculated the monetary values and pay something cheaper back. Mitch was frustrated that John cherished money more than their friendship.",Mitch decided to confront about John being cheap and discovered that John actually needed a job and wasn't doing so well. Mitch quickly got John an interview for a company he used to work for and Mitch got the job.,Mitch and John started to become closer friends as a result.
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,"Mitch had been tolerating this for a while: every time Mitch pay for something or gave John something, John always calculated the monetary values and pay something cheaper back. Mitch was frustrated that John cherished money more than their friendship.",John had gifted mitch a book but mitch thought it was cheap since he distinguishes things by monetary values of the object. He was not very happy about it.,mitch figured that john was selfish and gradually  distance himself from him
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,"Mitch had been tolerating this for a while: every time Mitch pay for something or gave John something, John always calculated the monetary values and pay something cheaper back. Mitch was frustrated that John cherished money more than their friendship.","Mitch decided to tell John just how much this hurt his feelings, and that he wasn't so sure if John was really a true friend. John listened to how Mitch felt and realized that his behavior was deeply hurting his friend.","John started being more self aware of his tendency to negatively highlight monetary values onto things, and Mitch overtime became more sure of their friendship."
"For Christmas, Mitch received a history book from his friend John.",Mitch thought the book looked cheap and told John that he could have given him something more expensive.,"Mitch had been tolerating this for a while: every time Mitch pay for something or gave John something, John always calculated the monetary values and pay something cheaper back. Mitch was frustrated that John cherished money more than their friendship.",So it was at this time Mitch decided to call John out.  He explained to John that it felt like John valued objects more than Mitch.,"John was shocked, but slowly admitted that Mitch had a good point so he told Mitch he would work on that because he did value their friendship and wanted to keep it going."
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.","As they viewed the exhibits, Mitch recognized one of the photos was of his great grandfather and in the same picture was John's great grandfather. They were shocked and felt that they meant to be friends.",They got really excited over this coincidence and went to the local library to find out more about their families’ past. They discovered even more shared memories for their two families.,"Up till now, they still occasionally search for common history between the family and they really bond over this."
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.","As they viewed the exhibits, Mitch recognized one of the photos was of his great grandfather and in the same picture was John's great grandfather. They were shocked and felt that they meant to be friends.",It was surprising to see the connection. They had no idea there was history between them,they began to hang out more often
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.","As they viewed the exhibits, Mitch recognized one of the photos was of his great grandfather and in the same picture was John's great grandfather. They were shocked and felt that they meant to be friends.",Mitch was especially happy because he had been trying to make new friends and had had trouble connecting with other people. The shared history of grandfathers that fought together in WWI helped bring him and John a little closer that day and created a stronger bond between them.,John and Mitch discover they are both big fans of WWI reenactments and spend many of their weekends together recreating scenes their grandfathers may have fought through together.
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.","As they viewed the exhibits, Mitch recognized one of the photos was of his great grandfather and in the same picture was John's great grandfather. They were shocked and felt that they meant to be friends.","They hugged and talked about the likelihood of that event happening, feeling that they strengthened their bond. They started to appreciate each other more after realizing how unlikely this is to happen.","From then on, both friends became closer and closer, and they were never going to change."
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.","As they viewed the exhibits, Mitch recognized one of the photos was of his great grandfather and in the same picture was John's great grandfather. They were shocked and felt that they meant to be friends.",It made them realize what a special bond they had. They also shared the same interests.,They became closer as the years went by
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.","As they came out of the museum, John told Mitch that they were moving away soon so it would be the last birthday that they could spend together. Mitch was very sad and offered to buy him dinner as a farewell.",Mitch was very hurt and decided to offer John dinner at his favorite restaurant including desert as an incentive so the two friends could spend at least one last dinner together. John decided out of a feeling of guilt and obligation to his friendship that he would attend the dinner with Mitch.,Mitch eventually understood that John had to move and he kept his distance from John to ease the pain he felt from losing this friendship in the near future.
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.","As they came out of the museum, John told Mitch that they were moving away soon so it would be the last birthday that they could spend together. Mitch was very sad and offered to buy him dinner as a farewell.","John on the other hand insisted on paying for the meal. After talking for a while they decided that Mitch will pay for the dinner and when they go to the bar after dinner, John will pay for the drink.",They had a memorable time that day and still talk about it sometimes even now.
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.","As they came out of the museum, John told Mitch that they were moving away soon so it would be the last birthday that they could spend together. Mitch was very sad and offered to buy him dinner as a farewell.","John agreed and the pair had dinner together. After the dinner, Mitch told John that he would miss him and wished him good luck in his future endeavors.","Due to John moving away, his friendship with Mitch grew increasingly more distant and they no longer talked to each other."
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.","As they came out of the museum, John told Mitch that they were moving away soon so it would be the last birthday that they could spend together. Mitch was very sad and offered to buy him dinner as a farewell.",Mitch did not have anyone else he could talk to. He would be all alone since He was an only child and had no family nearby. John said that Mitch if he ever needs to talk about anything he is all ears.,Mitch was touched and decided to do the same to John.
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.","As they came out of the museum, John told Mitch that they were moving away soon so it would be the last birthday that they could spend together. Mitch was very sad and offered to buy him dinner as a farewell.",Mitch is very self-conscious and he was sad since his friend john was leaving and this is their last birthday meet up. They spent the rest of the day in rather sad mood.,Mitch figured that he would not be able to see john thereafter
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.","Since it was a holiday, there were a lot of pre-school children running around, screaming. Mitch did not have a good time and blamed it on John.","John felt bad about the circumstances at the museum, but thought it pretty insensitive of Mitch to blame him for something that was entirely beyond his control. Mitch realized that maybe his friendship with John didn't run as deeply as previously thought.",Mitch's behavior after their visit to the museum was a huge red flag for John and he proceeded to see him less and less over the following months.
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.","Since it was a holiday, there were a lot of pre-school children running around, screaming. Mitch did not have a good time and blamed it on John.","John was annoyed at Mitch's comment but still decided to apologize to him. Then, John suggested that they both leave the museum.","John felt like Mitch was inconsiderate for blaming him for something that was out of his control, so he decided to spend less time with Mitch from that point forward."
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.","Since it was a holiday, there were a lot of pre-school children running around, screaming. Mitch did not have a good time and blamed it on John.",John realised that he had picked a bad time to visit the museum and so made it up to Mitch by taking him for a beer afterwards to talk about the book. They laughed about the kids and Mitch apologized to John for blaming him.,"Mitch realized he had a habit of reacting poorly to stressful situations and made a promise to himself to be more patient, especially to John."
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.","Since it was a holiday, there were a lot of pre-school children running around, screaming. Mitch did not have a good time and blamed it on John.","John explained to Mitch that the reason he didn't have a good time was because of the children screaming, not him, and that it was irrational to blame him for something he had no control over and could not predict. When Mitch gave it some more thought he realized that John was right and he apologized.","John forgave Mitch and told him that it's okay to be frustrated sometimes, but you shouldn't get mad at your friends like that if you want to keep them."
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.","Since it was a holiday, there were a lot of pre-school children running around, screaming. Mitch did not have a good time and blamed it on John.","John got angry at what Mitch said and told him it was not his fault. Later, John told Mitch that he did not want to hang out anymore and went home.","John figured Mitch is an ungrateful jerk, so he decided he would spend less time with Mitch in the future."
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.",Not a lot of people were around so they sat in front of an exhibit and discussed history until the museum closed. They enjoyed themselves so much that they decided to see the exhibition again the next day.,"Since John and Mitch enjoyed the exhibition so much, they decided to see the exhibition again to explore the exhibit more This would deepen their interest in history and world war I and also their friendship.",John and Mitch both will deepen their friendship and mutual interests that may result in more mutual activities.
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.",Not a lot of people were around so they sat in front of an exhibit and discussed history until the museum closed. They enjoyed themselves so much that they decided to see the exhibition again the next day.,Unfortunately they did not know that the exhibition was closed the next day. They were disappointed but was glad that at least they had seen it once.,"In future, whenever there is any information about any upcoming exhibitions, they would contact each other straight away and check them out."
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.",Not a lot of people were around so they sat in front of an exhibit and discussed history until the museum closed. They enjoyed themselves so much that they decided to see the exhibition again the next day.,Mitch and John came back to the museum the next day and a surprise waiting for them. A museum curator offered to give them an exclusive tour of the museum. She taught them even more things about World War I. They were thrilled.,Over the next few months John and Mitch's friendship grew stronger. Eventually solidifying into an unbreakable lifelong bond that lasted until their dying days.
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.",Not a lot of people were around so they sat in front of an exhibit and discussed history until the museum closed. They enjoyed themselves so much that they decided to see the exhibition again the next day.,They had not realized the museums hours. It was closed on fridays. They had to wait until monday to finish the tour,But they were grateful for each other because they were really good museum tour companions.
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.",Not a lot of people were around so they sat in front of an exhibit and discussed history until the museum closed. They enjoyed themselves so much that they decided to see the exhibition again the next day.,But when they arrived it was closed.They hadn't realized it was closed for the Holidays.,"Despite the bummer, they were able to laugh at it a few days later which strengthened their friendship."
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.",There were a lot of people at the museum and the main exhibition hall was so crowded that they could not see a thing. They had to leave before they could finish half of the exhibition and it was the last day the exhibition would be on.,"Both being frustrated, they opted to go to a local pub for a drink.  They spent the latter part of the day drinking and talking about World War 1.","Even though they missed the best part of the exhibit, both Mitch and John became a little closer in their friendship."
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.",There were a lot of people at the museum and the main exhibition hall was so crowded that they could not see a thing. They had to leave before they could finish half of the exhibition and it was the last day the exhibition would be on.,Unfortunately there was no more time. They were unable to see the entire exhibition and had to come back the next day to complete the tour.,"Despite the inconvenience, they still appreciate the experience and agreed to do more of these in future."
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.",There were a lot of people at the museum and the main exhibition hall was so crowded that they could not see a thing. They had to leave before they could finish half of the exhibition and it was the last day the exhibition would be on.,Both John and Mitch laughed at what had just happened. The two of them agreed that going to the museum on Christmas was a bad idea and tried to figure out something else to do for the day.,"The pair had a new funny memory to look back on, and looked forward to having many more moments such as that, despite the disappointment that they might have had."
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.",There were a lot of people at the museum and the main exhibition hall was so crowded that they could not see a thing. They had to leave before they could finish half of the exhibition and it was the last day the exhibition would be on.,"The staff at the museum told them that there would be another traveling exhibition on the next and the duo was really excited. However, it was not as good as they thought. ",They decided to check out the exhibitions at the museum more frequently so that they will not miss a good exhibition.
"For Christmas, Mitch received a history book from his friend John.","Afterwards, they visited the local history museum for the traveling exhibition about World War I — the subject of the book.",There were a lot of people at the museum and the main exhibition hall was so crowded that they could not see a thing. They had to leave before they could finish half of the exhibition and it was the last day the exhibition would be on.,"Mitch and John left the museum extremely disappointed they did not get to finish half of the exhibition. The exhibition was only around once every year and they would have to wait another year until they could visit, and by that time who knows if their schedules would allow it.","Mitch and John were grateful they got to see at least some of the exhibition and decided on new plans for the afternoon, they would go to the beach nearby the museum and get drinks at a bar."
"For Christmas, Mitch received a history book from his friend John.","Mitch was an avid fan of history and was very moved by the volume, so he wanted to do something to return the favor.","He browsed online in search of gifts for history lover but he was not sure which ones John had already had. After almost an hour, he gave up and decided hand make a history game for him.","When Mitch handed John the gift, John was at first confused.  He asked, ""did you make this?""",This hurt Mitch's feelings as it seemed John was not impressed so Mitch made it a point to avoid John for a while.
"For Christmas, Mitch received a history book from his friend John.","Mitch was an avid fan of history and was very moved by the volume, so he wanted to do something to return the favor.","He browsed online in search of gifts for history lover but he was not sure which ones John had already had. After almost an hour, he gave up and decided hand make a history game for him.",Mitch surprises John with the game at a New Year's party. John wasn't expecting anything in return and was happy to play the game his friend made.,They get closer as they both appreciated the same interests.
